PlayerId;Year;Team Id;League Id;GP;G;A;PIM;+/-;PP G;PP A;SH G;SH A;GR;GWG;SOG;FO;FO W;HIT;GvA;TkA;SB;TOI;PPTOI;SHTOI;Fights;Fights Won
324;2019;9;9999;17;8;5;12;2;1;1;0;0;57;2;44;0;0;34;16;2;1;22376;2411;87;0;0
324;2020;9;9999;6;0;4;0;1;0;0;0;0;59;0;15;0;0;6;4;3;8;7086;439;0;0;0
326;2021;9;9999;11;2;5;0;-3;0;1;0;0;62;0;22;18;3;5;5;7;5;12403;461;67;0;0
326;2019;9;9999;17;2;8;2;-6;0;1;0;0;61;2;45;17;7;10;11;6;11;21367;1072;1000;0;0
326;2020;9;9999;6;0;6;0;-3;0;1;0;0;67;0;25;6;2;5;2;1;1;6896;786;22;0;0
340;2021;4;9999;7;1;1;4;1;0;0;0;0;63;0;9;0;0;20;5;2;21;10163;21;122;0;0
355;2021;9;9999;11;1;8;2;11;0;0;0;0;68;0;25;202;95;10;4;7;10;12156;461;647;0;0
355;2019;9;9999;17;5;4;8;-7;2;0;0;0;58;1;55;294;166;15;9;3;9;21611;1072;981;0;0
355;2020;9;9999;6;2;3;0;-2;0;0;0;0;68;0;17;91;47;4;2;0;3;6935;393;251;0;0
372;2020;9;9999;6;0;0;2;0;0;0;0;0;49;0;11;0;0;2;1;1;4;4162;3;198;0;0
404;2021;8;9999;6;0;1;2;1;0;0;0;0;63;0;11;0;0;8;4;3;16;6830;268;557;0;0
417;2021;2;9999;12;3;4;2;-4;0;0;0;0;55;0;18;189;87;8;6;5;5;14013;0;301;0;0
417;2019;2;9999;15;4;6;2;8;1;0;1;0;64;1;41;216;110;8;9;9;7;16046;77;1685;0;0
417;2020;2;9999;15;3;6;4;6;0;0;0;0;57;0;24;201;78;21;9;4;8;15134;0;1806;0;0
425;2019;14;9999;7;4;0;2;-1;0;0;0;0;57;1;12;67;34;6;3;3;0;6141;0;323;0;0
433;2019;13;9999;11;0;3;2;-2;0;0;0;0;60;0;17;0;0;22;1;1;16;14009;36;990;0;0
433;2020;13;9999;12;2;3;2;-1;0;0;0;0;60;0;13;0;0;18;6;7;35;14009;0;390;0;0
435;2019;13;9999;11;2;3;2;5;0;0;0;1;60;0;21;0;0;17;6;3;9;12665;0;402;0;0
435;2020;13;9999;12;0;2;6;-4;0;0;0;0;63;0;30;0;0;10;3;3;10;11898;1224;192;0;0
437;2019;13;9999;11;1;2;0;0;0;0;0;0;65;0;28;0;0;19;2;3;17;14512;1598;461;0;0
437;2020;13;9999;12;0;7;4;-1;0;0;0;0;55;0;17;0;0;24;4;5;20;14136;0;448;0;0
438;2019;13;9999;11;1;5;0;4;0;0;0;0;63;0;33;0;0;19;5;6;25;13518;1598;742;0;0
438;2020;13;9999;12;1;7;0;7;0;0;0;0;60;0;37;0;0;22;6;5;32;14966;471;1135;0;0
439;2019;13;9999;11;1;3;0;0;1;0;0;0;60;0;11;0;0;11;5;6;15;13546;459;767;0;0
439;2020;13;9999;12;0;2;8;-4;0;1;0;0;54;0;11;0;0;28;2;6;14;12017;1224;167;0;0
442;2019;13;9999;11;3;2;2;1;0;0;0;0;71;0;55;15;4;18;13;4;19;14908;1933;510;0;0
442;2020;13;9999;12;8;7;2;0;0;0;0;0;65;3;45;25;9;8;12;3;12;15232;1208;74;0;0
443;2019;13;9999;11;0;5;2;4;0;0;0;1;67;0;24;245;145;10;3;7;3;14276;1953;610;0;0
443;2020;13;9999;12;1;6;4;0;0;0;0;0;63;1;29;246;119;19;5;8;4;15009;503;979;0;0
450;2019;13;9999;11;2;7;6;0;0;1;0;0;64;0;29;213;106;15;7;3;4;14866;657;368;0;0
450;2020;13;9999;12;1;6;0;1;0;0;0;0;64;0;24;196;99;21;4;7;3;13173;65;455;0;0
456;2019;13;9999;11;8;1;4;2;1;0;0;0;61;3;27;11;7;18;5;1;6;12158;1470;3;0;0
456;2020;13;9999;12;3;3;0;1;1;0;0;0;57;0;25;27;9;8;5;2;1;11309;1192;16;0;0
457;2021;9;9999;11;7;8;0;10;1;0;0;0;66;0;46;19;2;21;15;5;1;11852;1513;363;0;0
457;2019;13;9999;11;3;3;4;0;0;0;0;0;65;0;36;5;1;9;5;5;7;14308;858;381;0;0
457;2020;13;9999;12;9;3;4;1;0;1;0;0;67;2;35;12;3;16;3;4;1;14145;1192;375;0;0
458;2021;9;9999;11;3;2;0;-2;0;0;0;0;50;1;28;6;1;19;11;2;3;12383;34;127;0;0
458;2019;13;9999;11;3;7;0;0;0;1;0;0;65;0;38;25;3;10;6;8;6;14349;1429;174;0;0
458;2020;13;9999;12;2;7;2;1;0;0;0;0;55;0;35;21;5;14;5;2;6;14103;438;338;0;0
466;2021;14;9999;20;0;2;18;-3;0;0;0;0;53;0;14;0;0;52;3;3;42;16846;3;970;0;0
466;2019;14;9999;7;0;1;2;-3;0;0;0;0;50;0;8;0;0;4;6;0;21;9087;0;402;0;0
466;2020;14;9999;17;1;6;4;5;0;0;0;0;53;0;17;0;0;38;3;4;42;17553;123;772;0;0
467;2021;14;9999;20;1;7;18;1;0;0;0;0;59;0;38;0;0;8;7;10;43;22125;484;978;0;0
467;2019;14;9999;3;0;1;0;1;0;0;0;0;61;0;4;0;0;1;1;0;5;2141;0;115;0;0
467;2020;14;9999;17;1;6;8;0;1;1;0;1;58;0;25;0;0;3;4;6;52;19183;1218;844;0;0
470;2021;14;9999;20;4;9;2;0;2;0;0;0;62;2;48;0;0;41;8;8;40;25470;1174;1790;0;0
470;2019;14;9999;7;0;1;2;-2;0;0;0;0;58;0;13;0;0;14;7;1;6;9168;189;438;0;0
470;2020;14;9999;17;2;9;2;10;0;3;0;0;63;0;38;0;0;55;14;7;43;20935;1826;1455;0;0
475;2021;14;9999;20;5;13;6;6;0;1;0;0;63;1;59;38;13;25;17;4;11;23550;1474;1124;0;0
475;2019;14;9999;7;2;3;2;-2;1;0;0;0;63;0;20;7;3;2;4;1;20;8028;541;258;0;0
475;2020;14;9999;17;7;5;0;-5;1;2;0;0;61;1;56;46;26;22;15;6;17;19863;1311;1235;0;0
476;2021;14;9999;20;6;9;2;5;1;0;0;0;64;0;61;336;185;20;15;8;22;23378;395;1930;0;0
476;2019;14;9999;7;2;4;2;-5;1;1;0;0;70;1;15;123;67;11;8;2;2;9065;523;129;0;0
476;2020;14;9999;17;7;13;6;13;0;3;0;0;68;2;46;349;196;18;9;15;11;19497;2013;954;0;0
478;2021;14;9999;20;2;4;2;-1;0;0;0;0;55;0;27;0;0;33;18;4;20;22517;0;561;0;0
478;2019;14;9999;7;1;3;2;-1;0;1;0;0;63;1;17;0;0;27;5;3;24;9715;577;451;0;0
478;2020;14;9999;17;1;6;16;-7;0;0;0;0;65;0;22;0;0;20;18;6;42;21232;1221;778;0;0
482;2019;14;9999;7;0;2;4;-1;0;0;0;0;57;0;4;1;1;9;1;3;16;6622;577;0;0;0
482;2020;14;9999;17;1;8;6;0;0;0;0;0;53;0;10;9;2;26;4;1;24;18413;75;493;0;0
489;2021;14;9999;20;5;5;8;-4;0;2;0;0;60;0;57;6;2;32;15;9;30;23551;1256;136;0;0
489;2019;14;9999;7;2;1;0;-5;0;0;0;0;59;0;21;10;2;1;5;2;7;8889;168;320;0;0
489;2020;14;9999;17;9;11;2;0;3;1;1;0;58;2;42;25;10;13;13;2;31;19633;699;727;0;0
490;2021;14;9999;20;6;12;8;-6;0;2;0;0;67;1;60;418;240;24;11;9;20;23440;2125;1116;0;0
490;2019;14;9999;7;3;3;0;-5;0;0;0;0;56;0;21;33;13;10;7;2;7;9040;225;607;0;0
490;2020;14;9999;17;6;14;6;-3;1;4;0;0;65;1;54;300;168;13;11;5;16;19984;1150;1332;0;0
491;2021;14;9999;20;2;11;6;-3;0;0;0;0;61;0;40;56;20;50;12;5;5;23833;806;1625;0;0
