Id,GoalieId,Player Name,LeagueId,TeamId,SubtotalForId,Season,isPlayoffs,GamesPlayed,Wins,Losses,OvertimeLosses,Minutes,PenaltyMinutes,Shutouts,GoalsAgainst,ShotsAgainst,Assists,EmptyGoalAgainst,PenaltyShotAttempts,Starts,Backups,PenaltyShotSaves
1524,100079,Colin Schmidt,2,15,,19,0,34,15,15,3,1918,6,1,110,821,1,0,8,34,6,7
1525,100083,Mike Schmidt,2,17,,19,0,34,19,12,2,1924,4,6,80,756,0,0,4,34,6,2
1526,100078,Ryan Winters,2,50,,19,0,19,6,6,2,711,0,0,32,266,1,0,6,10,30,2
1527,100077,Jackson Weekes,2,50,,19,0,31,13,11,2,1715,8,4,94,667,2,0,10,30,10,5
1528,100090,Phil Osgoode,2,49,,19,0,13,4,4,0,546,0,0,28,230,1,0,3,6,34,3
1529,100082,Arton Laxk,2,49,,19,0,34,13,17,2,1875,2,2,103,800,1,2,7,34,6,4
1530,100212,Jam Scruffy,2,48,,19,0,11,2,3,1,498,0,1,17,195,0,0,3,5,35,2
1531,100080,Jakob Tanner,2,48,,19,0,35,18,15,1,1936,0,0,103,778,1,0,19,35,5,13
1532,100092,Mathias Lundgren,2,21,,19,0,11,4,3,0,481,0,0,19,191,0,0,4,6,34,3
1533,100213,M?rti?? P?tersons,2,15,,19,0,11,3,3,1,499,0,1,19,179,1,0,0,6,34,0
1534,100216,ZzJack's Robot Berlin,2,17,,19,0,1,0,0,1,41,0,0,0,17,0,0,2,0,16,1
1535,100217,Akash Kar,2,17,,19,0,8,4,2,0,445,0,1,23,188,0,0,0,6,18,0
1536,100218,Charlie Serpe II,2,21,,19,0,34,19,10,4,1938,2,3,94,801,2,0,2,34,6,1
1277,100045,Edwin Ask,1,7,,19,1,18,10,7,1,1133,4,3,47,471,2,0,0,18,0,0
1278,100050,Jamie Shetler,1,11,,19,1,3,1,1,1,198,0,0,11,84,0,0,0,3,3,0
1279,100074,Dymo Ranjan,1,10,,19,1,6,2,3,1,365,0,0,17,203,0,1,0,6,0,0
1280,100059,Urijah Winnfield,1,4,,19,1,11,6,5,0,660,0,1,32,299,0,0,0,11,0,0
1281,100066,Dustin Rose,1,5,,19,1,11,5,6,0,715,0,1,34,347,0,0,0,11,0,0
1282,100060,C.J. James,1,11,,19,1,3,1,2,0,179,0,0,8,91,0,0,0,3,3,0
1283,100057,Jermaine Tennyson,1,12,,19,1,5,1,4,0,299,2,0,15,136,0,0,0,5,0,0
402,100076,Andre Pfosten,1,14,,20,0,6,3,2,1,359,0,1,9,129,1,0,0,6,44,0
403,100045,Edwin Ask,1,7,,20,0,42,29,11,2,2536,4,5,91,974,2,0,10,42,8,7
404,100073,Kevin Griffin,1,9,,20,0,6,5,1,0,362,2,2,8,108,0,0,0,6,44,0
405,100060,C.J. James,1,11,,20,0,40,22,11,7,2464,4,4,92,996,0,0,49,40,10,34
406,100069,Sterling Slade,1,4,,20,0,41,12,25,4,2490,6,3,115,1079,1,0,17,41,9,9
407,100062,Eric White,1,4,,20,0,9,3,5,1,545,2,0,28,272,0,0,4,9,41,1
408,100072,Aboud Chamas,1,2,,20,0,42,7,29,6,2557,2,3,133,1156,1,0,28,42,8,16
409,100053,Mika Aalto,1,2,,20,0,8,1,5,2,488,0,0,18,224,0,0,5,8,42,2
410,100043,Noah Robinson,1,12,,20,0,7,3,3,1,435,2,1,20,168,0,0,9,7,43,6
411,100057,Jermaine Tennyson,1,12,,20,0,43,21,19,3,2605,2,2,111,1092,2,2,21,43,7,14
412,100066,Dustin Rose,1,5,,20,0,43,29,11,3,2612,4,3,98,968,0,0,19,43,7,15
413,100048,Cyan Winters,1,5,,20,0,7,5,1,1,425,0,0,11,131,0,0,3,7,43,3
414,100029,Jonas Gustavo,1,1,,20,0,6,6,0,0,365,0,1,9,92,0,0,3,6,44,3
415,100065,Jordin FourFour,1,1,,20,0,44,27,14,3,2660,0,6,88,1169,2,1,12,44,6,8
416,100051,Mike Verminski,1,9,,20,0,44,19,19,6,2677,4,4,122,1137,3,0,26,44,6,16
417,100074,Dymo Ranjan,1,10,,20,0,44,24,18,2,2674,4,5,92,1075,0,2,25,44,6,16
418,100056,Lauris Prikulis,1,14,,20,0,44,23,16,5,2684,0,3,103,1241,2,3,26,44,6,17
419,100041,Fabian Fuhrberg,1,6,,20,0,8,3,3,2,487,0,0,16,198,0,1,4,8,42,2
420,100075,Peter Vayne,1,3,,20,0,6,4,1,1,368,0,0,18,141,0,0,7,6,44,3
421,100055,Jakub Aittokallio,1,3,,20,0,44,22,21,1,2655,6,5,113,1133,2,0,6,44,6,6
422,100079,Colin Schmidt,1,6,,20,0,42,18,17,7,2549,4,4,106,1155,2,0,25,42,8,15
423,100080,Jakob Tanner,1,7,,20,0,8,6,2,0,486,0,0,18,158,0,0,2,8,42,2
424,100078,Ryan Winters,1,10,,20,0,6,4,2,0,364,0,1,16,150,0,0,7,6,44,4
425,100077,Jackson Weekes,1,11,,20,0,10,4,4,2,612,0,0,24,236,0,0,5,10,40,4
1284,100056,Lauris Prikulis,1,14,,20,1,10,6,4,0,599,0,3,18,305,0,1,0,10,0,0
1285,100045,Edwin Ask,1,7,,20,1,14,9,5,0,867,0,1,31,358,2,0,0,14,0,0
1286,100060,C.J. James,1,11,,20,1,5,1,3,1,321,0,0,19,151,0,0,0,5,0,0
2055,100081,Hunter Wong,2,17,,20,1,3,0,2,1,160,0,0,8,91,0,0,0,1,6,0
2056,100085,Rob Pressen,2,15,,20,1,7,3,4,0,418,0,1,17,181,0,1,0,7,0,0
2057,100084,Antero Pelkonen,2,21,,20,1,17,10,4,3,1050,0,0,59,465,1,1,0,17,0,0
2058,100219,Leo Mackinnon,2,21,,20,1,1,0,0,0,22,0,0,1,9,0,0,0,0,17,0
2059,100221,ZzJack's Robot Gilbert,2,48,,20,1,1,0,0,0,48,0,0,2,14,0,0,0,0,6,0
2060,100083,Mike Schmidt,2,17,,20,1,6,3,1,0,272,0,1,16,144,0,0,0,6,1,0
2061,100082,Arton Laxk,2,49,,20,1,4,0,3,1,194,0,0,17,87,0,1,0,4,0,0
2062,100214,ZzJack's Robot Roberts,2,49,,20,1,2,0,0,0,45,0,0,5,39,0,0,0,0,4,0
2063,100223,Oskar Molmsten,2,50,,20,1,19,12,6,0,1113,0,1,53,492,1,0,0,19,0,0
2064,100222,Steve Gaustad,2,50,,20,1,3,0,1,0,78,0,0,4,39,0,0,0,0,19,0
2065,100224,Vladimir Coprovsky,2,48,,20,1,6,2,3,1,324,0,0,16,143,1,1,0,6,0,0
1537,100081,Hunter Wong,2,17,,20,0,10,5,3,0,427,0,0,22,219,0,0,0,6,34,0
1538,100083,Mike Schmidt,2,17,,20,0,36,23,8,1,1976,8,2,93,916,2,0,2,34,6,1
1539,100085,Rob Pressen,2,15,,20,0,36,17,11,4,1966,0,0,109,796,0,0,8,34,6,5
1540,100216,ZzJack's Robot Berlin,2,50,,20,0,7,0,0,0,208,0,0,15,94,1,0,0,0,31,0
1541,100082,Arton Laxk,2,49,,20,0,38,16,17,2,2080,0,2,114,903,0,0,20,36,4,19
1542,100214,ZzJack's Robot Roberts,2,49,,20,0,10,1,4,0,354,0,0,34,203,0,0,0,4,36,0
1543,100084,Antero Pelkonen,2,21,,20,0,34,15,17,2,1900,0,2,103,874,3,1,6,34,6,3
1544,100080,Jakob Tanner,2,48,,20,0,26,13,9,2,1473,4,0,79,665,2,0,13,26,10,9
1545,100223,Oskar Molmsten,2,50,,20,0,33,13,18,1,1717,0,1,98,807,0,1,9,31,9,6
1546,100221,ZzJack's Robot Gilbert,2,48,,20,0,1,0,0,0,24,0,0,0,9,0,0,0,0,4,0
1547,100224,Vladimir Coprovsky,2,48,,20,0,17,10,6,0,919,2,1,46,424,1,1,3,14,26,3
1548,100219,Leo Mackinnon,2,21,,20,0,11,1,5,0,503,0,0,25,215,1,0,0,6,34,0
1549,100220,Bob Junior,2,15,,20,0,11,3,4,1,462,0,0,22,173,0,0,14,6,34,11
1550,100222,Steve Gaustad,2,50,,20,0,9,3,4,1,488,2,0,37,238,0,0,3,9,0,2
1287,100057,Jermaine Tennyson,1,12,,20,1,10,4,6,0,640,0,0,31,277,0,0,0,10,1,0
1288,100043,Noah Robinson,1,12,,20,1,1,1,0,0,60,0,0,2,21,0,0,0,1,10,0
1289,100079,Colin Schmidt,1,6,,20,1,4,0,3,1,267,0,0,11,127,0,0,0,4,0,0
1290,100065,Jordin FourFour,1,1,,20,1,16,12,4,0,964,15,1,37,405,1,1,0,16,0,0
1291,100074,Dymo Ranjan,1,10,,20,1,6,2,2,2,401,0,0,19,185,0,0,0,6,0,0
1292,100066,Dustin Rose,1,5,,20,1,4,0,4,0,239,0,0,13,103,0,0,0,4,0,0
1293,100029,Jonas Gustavo,1,1,,20,1,1,0,0,0,16,0,0,0,2,0,0,0,0,16,0
426,100056,Lauris Prikulis,1,14,,21,0,46,18,22,6,2786,12,1,127,1447,2,0,18,46,6,11
427,100080,Jakob Tanner,1,7,,21,0,9,3,6,0,538,2,0,24,245,0,0,0,9,43,0
428,100077,Jackson Weekes,1,11,,21,0,46,22,18,6,2818,4,1,119,1234,1,1,37,46,6,28
429,100050,Jamie Shetler,1,11,,21,0,6,4,1,1,364,0,0,14,149,1,1,4,6,46,1
430,100062,Eric White,1,4,,21,0,6,3,3,0,365,0,0,22,177,0,0,4,6,46,3
431,100060,C.J. James,1,4,,21,0,46,19,22,5,2801,6,1,120,1312,2,2,42,46,6,29
432,100072,Aboud Chamas,1,2,,21,0,40,11,25,4,2412,0,1,127,1009,2,2,11,40,12,5
433,100053,Mika Aalto,1,2,,21,0,12,5,7,0,730,0,0,28,296,0,0,7,12,40,6
434,100057,Jermaine Tennyson,1,12,,21,0,46,28,13,5,2804,0,1,127,1210,0,0,28,46,6,22
435,100043,Noah Robinson,1,12,,21,0,6,3,0,3,378,2,0,14,156,0,0,8,6,46,5
436,100051,Mike Verminski,1,9,,21,0,46,25,18,3,2799,4,3,121,1209,2,1,36,46,6,27
437,100066,Dustin Rose,1,5,,21,0,45,29,11,5,2726,2,3,96,1103,2,0,13,45,7,8
438,100029,Jonas Gustavo,1,1,,21,0,6,4,2,0,359,0,0,16,154,0,0,0,6,46,0
439,100065,Jordin FourFour,1,1,,21,0,46,30,12,4,2786,6,6,102,1231,1,0,13,46,6,9
440,100074,Dymo Ranjan,1,10,,21,0,44,18,19,7,2678,0,4,130,1116,1,0,23,44,8,13
441,100076,Andre Pfosten,1,14,,21,0,6,4,2,0,365,0,0,15,152,0,0,6,6,46,3
442,100041,Fabian Fuhrberg,1,6,,21,0,6,2,4,0,359,2,1,17,177,0,0,0,6,46,0
443,100079,Colin Schmidt,1,6,,21,0,46,21,21,4,2803,4,1,122,1383,2,1,31,46,6,21
444,100045,Edwin Ask,1,7,,21,0,43,27,13,3,2610,4,2,124,1132,4,0,22,43,9,16
445,100055,Jakub Aittokallio,1,3,,21,0,46,24,16,6,2791,2,5,117,1242,2,2,12,46,6,7
446,100083,Mike Schmidt,1,10,,21,0,8,3,4,1,484,0,0,27,245,0,0,0,8,44,0
447,100081,Hunter Wong,1,9,,21,0,6,3,3,0,359,0,0,16,158,0,0,0,6,46,0
448,100082,Arton Laxk,1,5,,21,0,7,4,3,0,425,0,0,24,192,0,0,3,7,45,3
449,100084,Antero Pelkonen,1,3,,21,0,6,2,2,2,368,0,0,18,152,1,0,3,6,46,2
1294,100079,Colin Schmidt,1,6,,21,1,5,1,4,0,298,0,0,15,158,1,1,0,5,0,0
