PlayerId;TeamId;FranchiseId;GP;G;A;+/-;PIM;PP G;PP A;SH G;SH A;Fights;Fights_Won;HIT;GvA;TkA;SB;GR;Game Rating Off;Game Rating Def;SOG;TOI;PPTOI;SHTOI;PDO;GF/60;GA/60;SF/60;SA/60;CF;CA;CF%;CF% rel;FF;FA;FF%;FF% rel
947;10;10;4;3;0;-8;2;0;0;0;0;0;0;0;4;2;3;57;70;42;17;5144;391;74;93.6;2.1;7.0;25.2;47.6;68;118;36.6;4.8;47;89;34.6;3.6
962;12;12;5;1;1;-4;0;1;0;0;0;0;0;8;4;2;8;67;70;59;10;5691;369;434;96.2;0.6;3.2;18.3;43.6;66;130;33.7;3.7;48;93;34.0;2.9
965;5;5;5;0;0;-9;0;0;0;0;0;0;0;6;4;2;8;69;66;69;14;6610;311;143;91.2;0.5;5.4;23.4;49.0;80;178;31.0;0.8;58;129;31.0;0.9
968;2;2;10;0;2;3;0;0;0;0;0;0;0;24;3;7;31;61;60;61;24;9485;1213;770;103.2;3.8;2.7;36.1;36.1;165;173;48.8;-6.2;126;132;48.8;-4.4
971;19;19;7;1;5;0;2;0;1;0;0;0;0;8;4;5;18;72;70;68;24;9447;585;294;100.7;1.9;1.9;29.7;33.2;157;179;46.7;8.5;119;123;49.2;9.1
980;5;5;5;0;0;-5;4;0;0;0;0;0;0;11;2;0;6;51;60;42;10;5770;0;50;95.9;0.6;3.7;22.5;54.3;60;165;26.7;-5.7;48;115;29.4;-1.5
981;12;12;5;0;1;-6;0;0;0;0;0;0;0;9;2;1;8;54;47;57;6;6275;138;205;97.3;1.7;5.2;22.4;49.9;74;163;31.2;-0.0;59;119;33.1;1.8
997;7;7;12;1;2;-6;0;0;0;0;0;0;0;13;9;4;1;48;54;40;20;13459;0;156;95.0;2.7;4.3;40.7;36.9;277;234;54.2;-2.4;207;180;53.5;-2.5
1018;9;9;10;1;5;-2;2;0;0;0;0;0;0;21;6;1;10;65;66;60;28;10161;772;0;98.0;2.1;2.5;39.0;33.3;207;176;54.0;2.7;149;126;54.2;4.6
1038;2;2;10;1;5;-2;4;0;0;0;0;0;0;12;5;4;13;60;60;59;20;11526;43;353;97.3;3.4;4.1;35.0;32.5;211;183;53.6;0.5;157;138;53.2;1.9
1041;21;21;6;2;1;1;4;0;0;0;0;0;0;4;3;2;1;49;56;41;5;6386;0;63;105.6;3.9;3.4;30.4;45.7;96;149;39.2;-2.8;69;115;37.5;-3.9
1045;2;2;10;1;6;3;0;0;0;0;0;0;0;23;4;0;1;64;70;55;26;11012;328;250;103.9;3.6;2.6;30.4;33.0;184;182;50.3;-4.3;139;143;49.3;-4.0
1049;15;15;9;1;4;1;0;0;0;1;0;0;0;21;4;3;11;70;72;60;29;10234;678;331;95.6;2.8;2.8;44.7;26.4;208;149;58.3;1.9;158;109;59.2;2.4
1087;7;7;12;2;2;1;2;0;0;0;0;0;0;25;5;5;39;64;55;70;30;14100;258;377;100.6;3.1;2.8;36.8;36.3;265;249;51.6;-6.4;192;188;50.5;-6.9
1100;15;15;9;1;4;0;0;0;0;0;0;0;0;5;3;1;5;54;61;45;11;9943;0;0;99.5;3.6;3.6;34.4;32.9;191;171;52.8;-6.3;138;126;52.3;-7.9
1113;3;3;4;0;2;-6;2;0;0;0;0;0;0;12;1;0;2;52;57;47;3;5454;0;69;94.5;2.0;5.9;24.4;43.6;72;113;38.9;6.5;50;88;36.2;2.7
1118;15;15;9;1;4;7;2;0;0;0;0;0;0;45;3;1;5;59;56;57;18;9586;0;189;102.8;4.9;2.3;43.6;26.7;205;125;62.1;7.4;161;100;61.7;6.2
1130;0;0;22;3;7;12;6;0;0;0;1;0;0;34;13;13;31;62;55;68;55;24520;543;861;99.7;3.8;2.2;44.2;24.7;592;334;63.9;1.8;438;239;64.7;2.4
1133;15;15;9;2;5;8;0;0;0;0;0;0;0;13;7;3;18;65;63;65;20;10419;680;169;105.9;4.5;1.7;34.9;24.9;198;164;54.7;-3.4;141;109;56.4;-1.7
1144;5;5;5;0;1;-9;0;0;0;0;0;0;0;8;3;0;2;52;64;38;4;6431;54;0;91.5;1.1;6.2;20.2;43.7;76;162;31.9;2.2;54;121;30.9;0.6
1148;21;21;6;2;2;-6;2;1;1;0;0;0;0;5;5;4;5;60;65;54;31;7431;381;53;96.4;2.4;5.3;35.4;50.9;126;175;41.9;1.2;101;141;41.7;2.5
1151;7;7;12;3;6;-5;4;0;0;0;0;0;0;8;5;3;6;61;72;47;41;13481;0;157;95.2;2.7;4.0;41.4;35.5;280;228;55.1;-1.1;210;175;54.5;-0.9
1156;3;3;4;0;1;-1;0;0;0;0;0;0;0;9;4;0;1;50;52;44;11;5146;0;234;103.3;3.5;4.2;28.0;45.5;66;122;35.1;0.3;52;90;36.6;3.4
1170;0;0;22;7;8;19;2;0;0;0;0;0;0;19;16;9;7;67;76;54;72;24859;2157;66;104.7;4.1;1.3;42.4;27.1;548;352;60.9;-2.7;415;251;62.3;-1.2
1172;15;15;9;3;5;1;0;0;0;0;0;0;0;10;4;5;7;66;76;53;30;10175;678;291;95.6;2.8;2.8;44.9;26.5;208;148;58.4;2.2;158;109;59.2;2.4
1173;21;21;6;0;1;-5;0;0;0;0;0;0;0;15;4;1;18;65;54;74;11;6566;0;55;95.7;1.1;3.8;30.2;48.2;97;165;37.0;-6.0;69;123;35.9;-6.2
1190;7;7;12;5;8;8;0;0;0;0;0;0;0;24;6;3;10;64;70;52;38;13591;407;176;103.1;5.6;3.4;43.2;35.2;303;239;55.9;0.1;218;187;53.8;-2.0
1194;7;7;12;1;5;-2;0;0;2;0;0;0;0;13;8;8;2;67;73;58;53;14137;1387;479;97.1;1.3;1.8;40.0;29.3;297;225;56.9;1.6;221;162;57.7;3.8
1196;2;2;10;2;2;3;0;0;0;0;0;0;0;17;4;1;6;60;64;52;12;10548;0;565;101.2;3.1;2.0;38.9;30.4;202;175;53.6;0.5;149;128;53.8;2.6
1201;6;6;4;1;3;-3;0;0;1;0;0;0;0;2;3;1;6;60;60;59;8;4277;543;208;96.0;2.5;5.1;25.3;36.2;67;79;45.9;-1.8;48;59;44.9;-5.1
1215;19;19;7;2;4;0;4;0;4;0;0;0;0;9;1;4;17;73;63;79;10;6937;605;568;100.7;2.6;2.6;30.6;33.2;92;136;40.4;-1.3;69;96;41.8;-2.1
1223;5;5;5;2;1;-4;0;0;0;0;0;0;0;1;1;2;5;56;58;51;8;6289;54;12;99.5;1.7;4.0;20.6;45.2;77;161;32.4;2.8;54;114;32.1;2.6
1229;0;0;22;2;9;11;2;0;0;0;0;0;0;30;14;10;36;60;61;58;64;24416;43;391;99.8;3.8;2.2;43.8;24.8;585;335;63.6;1.3;430;241;64.1;1.5
1239;2;2;10;3;2;-2;4;0;0;0;0;0;0;11;5;4;13;56;60;48;24;10693;0;611;97.0;4.0;4.7;40.7;36.4;223;178;55.6;3.6;165;143;53.6;2.4
