PlayerId;TeamId;FranchiseId;GP;G;A;+/-;PIM;PP G;PP A;SH G;SH A;Fights;Fights_Won;HIT;GvA;TkA;SB;GR;Game Rating Off;Game Rating Def;SOG;TOI;PPTOI;SHTOI;PDO;GF/60;GA/60;SF/60;SA/60;CF;CA;CF%;CF% rel;FF;FA;FF%;FF% rel
1258;21;21;66;10;21;-14;10;0;0;0;1;0;0;69;36;23;87;53;59;46;111;69941;260;2478;100.9;2.9;3.7;28.1;38.3;1048;1412;42.6;-6.3;788;1017;43.7;-5.0
1259;11;11;66;6;15;-32;24;1;3;0;1;0;0;53;42;23;63;60;54;65;102;69319;8556;5440;101.4;2.1;3.8;21.2;43.9;749;1614;31.7;-0.1;561;1170;32.4;0.8
1261;3;3;66;22;33;10;8;2;5;0;0;0;0;80;46;8;22;64;73;53;222;71030;8622;247;99.3;3.1;2.6;38.1;28.8;1434;1043;57.9;4.8;1036;790;56.7;4.0
1262;9;9;66;8;20;5;24;1;1;0;0;0;0;74;32;29;81;60;60;58;137;73584;3217;4576;99.1;3.8;3.5;36.4;30.9;1445;1149;55.7;1.1;1064;877;54.8;0.2
1264;6;6;66;16;30;3;14;0;0;0;0;0;0;24;35;15;6;60;69;50;169;71217;2185;339;98.9;3.1;2.9;35.5;30.1;1344;1043;56.3;4.0;979;794;55.2;2.1
1269;15;15;66;19;37;27;12;0;0;0;0;0;0;44;42;25;34;62;68;54;184;72332;19;1236;99.3;3.8;2.4;43.6;25.9;1627;982;62.4;4.7;1203;721;62.5;4.9
1270;10;10;66;9;19;-34;19;0;4;0;0;0;0;74;29;25;67;62;63;57;139;72993;2840;5315;97.2;2.0;3.6;28.2;36.9;1098;1408;43.8;0.9;798;1027;43.7;0.7
1274;4;4;66;11;19;-35;178;0;0;0;0;7;3;525;36;23;86;56;57;50;96;83829;2265;3971;102.4;2.8;4.4;23.5;45.6;1040;1936;34.9;0.5;761;1460;34.3;0.1
1276;13;13;66;13;31;24;16;1;4;0;0;0;0;89;30;18;60;66;69;61;198;74185;9596;1573;101.9;4.3;3.1;38.3;33.0;1433;1307;52.3;0.1;1067;962;52.6;0.1
1282;3;3;66;9;20;15;26;0;1;0;0;0;0;104;27;22;114;62;65;57;115;73531;1739;4731;101.7;2.8;2.2;31.5;29.4;1248;1133;52.4;-3.5;897;831;51.9;-3.2
1286;12;12;66;9;20;-34;22;3;3;0;0;0;0;87;32;12;50;58;62;52;158;74360;7673;427;98.7;2.0;3.5;25.6;39.3;973;1521;39.0;2.2;707;1127;38.5;1.6
1293;12;12;66;15;19;-29;30;1;1;1;0;0;0;92;22;28;7;62;65;55;139;76466;3047;4033;99.2;2.1;3.4;25.7;38.7;1011;1545;39.6;3.1;729;1137;39.1;2.5
1295;7;7;66;12;20;11;12;4;0;1;0;0;0;109;25;31;67;62;60;63;170;69746;3180;4077;100.2;3.1;2.5;38.5;32.3;1349;1183;53.3;0.6;1021;883;53.6;0.4
1300;3;3;66;5;18;26;2;1;3;0;0;0;0;22;26;12;29;56;60;52;114;63566;2314;1244;103.1;3.4;1.9;35.2;29.6;1146;1013;53.1;-2.4;827;754;52.3;-2.5
1311;10;10;66;12;41;15;37;3;5;0;0;1;0;49;32;14;53;59;64;53;164;76351;6479;269;103.0;3.4;2.6;32.0;34.7;1276;1382;48.0;7.5;940;1015;48.1;7.6
1312;20;20;66;8;22;-28;16;0;0;0;0;0;0;28;54;14;23;55;62;47;118;71591;197;185;98.0;2.2;3.6;28.6;37.2;1092;1407;43.7;-2.4;787;1034;43.2;-2.6
1313;13;13;66;9;23;23;12;0;0;0;0;0;0;68;28;20;61;59;62;53;111;63286;71;1762;103.7;4.4;3.1;37.0;37.7;1167;1228;48.7;-5.0;898;906;49.8;-3.9
1316;21;21;66;11;24;18;28;3;3;0;0;0;0;85;28;20;104;72;67;74;165;70320;4455;2246;101.5;3.2;2.3;35.5;30.2;1335;1114;54.5;11.4;987;813;54.8;11.6
1318;7;7;66;5;20;11;18;0;0;0;1;0;0;87;32;21;66;58;51;64;119;70310;245;3814;100.3;2.8;2.3;35.3;30.2;1268;1196;51.5;-2.1;936;866;51.9;-2.1
1319;5;5;66;10;23;-14;21;0;0;0;0;1;0;114;35;18;92;59;65;50;110;75456;283;4516;99.2;2.2;2.9;30.6;35.7;1266;1420;47.1;-0.5;914;1029;47.0;-0.6
1320;21;21;66;13;20;1;14;0;4;0;0;0;0;121;32;14;84;60;65;52;103;70254;3513;191;100.4;2.3;2.2;32.6;33.0;1239;1267;49.4;3.9;883;911;49.2;3.2
1323;8;8;66;9;20;11;27;0;3;0;1;1;0;98;41;25;78;58;54;60;141;74430;2079;3324;101.0;3.3;2.8;35.2;32.8;1362;1277;51.6;-2.6;1002;948;51.4;-3.0
